,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6933552.444444444,19038.666666666668,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9118600.0,17950.0,508.0,8895940.0,19339.0,460.0,6321504.0,18814.0,336.0,5737396.0,18998.0,302.0,5570572.0,20942.0,266.0,6526314.000000001,20523.0,318.0,8708696.0,17348.0,502.0,6293192.0,18136.0,347.0,5229758.0,19298.0,271.0,,-0.056073612072340295,-0.05607430299624849
2020-11-15,7345437.666666667,20169.666666666668,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9660636.0,19017.0,508.0,9424480.0,20488.0,460.0,6696816.000000001,19931.0,336.0,6078052.0,20126.0,302.0,5902008.0,22188.0,266.0,6913956.0,21742.0,318.0,9225756.0,18378.0,502.0,6666911.0,19213.0,347.0,5540324.0,20444.0,271.0,,0.0360282206016711,0.03602431298690201
2020-10-15,7089997.666666667,19468.333333333332,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9324848.0,18356.0,508.0,9096960.0,19776.0,460.0,6463632.0,19237.0,336.0,5866350.0,19425.0,302.0,5697454.000000001,21419.0,266.0,6673230.0,20985.0,318.0,8904476.0,17738.0,502.0,6435115.0,18545.0,347.0,5347914.0,19734.0,271.0,,-0.01554642621944613,-0.015546515939814154
2020-9-15,7201962.444444444,19775.777777777777,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9472168.0,18646.0,508.0,9240940.0,20089.0,460.0,6565440.0,19540.0,336.0,5958761.999999999,19731.0,302.0,5787894.0,21759.0,266.0,6778170.0,21315.0,318.0,9045036.0,18018.0,502.0,6536786.0,18838.0,347.0,5432466.0,20046.0,271.0,,0.033712820520344744,0.03370930083982837
2020-8-15,6967082.444444444,19130.88888888889,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9163304.0,18038.0,508.0,8940100.0,19435.0,460.0,6351072.0,18902.0,336.0,5764274.0,19087.0,302.0,5599832.0,21052.0,266.0,6556842.0,20619.0,318.0,8749358.0,17429.0,502.0,6323728.0,18224.0,347.0,5255232.0,19392.0,271.0,,-0.05885516037419314,-0.05885889825412949
2020-7-15,7402773.888888889,20327.333333333332,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9736328.0,19166.0,508.0,9499460.0,20651.0,460.0,6747888.000000001,20083.0,336.0,6124560.0,20280.0,302.0,5950686.0,22371.0,266.0,6966744.0,21908.0,318.0,9296036.0,18518.0,502.0,6719307.999999999,19364.0,347.0,5583954.999999999,20605.0,271.0,,0.007411239198277686,0.007411894273127606
2020-6-15,7348313.777777778,20177.777777777777,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9665208.0,19026.0,508.0,9430000.0,20500.0,460.0,6697824.0,19934.0,336.0,6078958.0,20129.0,302.0,5907594.0,22209.0,266.0,6914910.000000001,21745.0,318.0,9227262.0,18381.0,502.0,6670034.000000001,19222.0,347.0,5543033.999999999,20454.0,271.0,,0.01004334118430883,0.010039211324007757
2020-5-15,7275246.0,19977.222222222223,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9569196.0,18837.0,508.0,9336620.0,20297.0,460.0,6630960.000000001,19735.0,336.0,6018255.999999999,19928.0,302.0,5849606.0,21991.0,266.0,6845903.999999999,21528.0,318.0,9134894.0,18197.0,502.0,6603757.0,19031.0,347.0,5488021.0,20251.0,271.0,,0.02998162140760341,0.029977887512746326
2020-4-15,7063471.666666667,19395.777777777777,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9290812.0,18289.0,508.0,9064760.0,19706.0,460.0,6437760.0,19160.0,336.0,5842794.0,19347.0,302.0,5680164.0,21354.0,266.0,6646200.0,20900.0,318.0,8868834.0,17667.0,502.0,6411519.0,18477.0,347.0,5328402.0,19662.0,271.0,,-0.025797203177852612,-0.02580015068225583
2020-3-15,7250514.666666667,19909.444444444445,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9536684.0,18773.0,508.0,9305340.0,20229.0,460.0,6607776.000000001,19666.0,336.0,5997116.0,19858.0,302.0,5831251.999999999,21922.0,266.0,6822054.0,21453.0,318.0,9103268.0,18134.0,502.0,6581549.000000001,18967.0,347.0,5469593.0,20183.0,271.0,,0.018629592284552743,0.018629056097505536
2020-2-15,7117910.888888889,19545.333333333332,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9362948.0,18431.0,508.0,9135600.0,19860.0,460.0,6486480.0,19305.0,336.0,5887188.0,19494.0,302.0,5725384.000000001,21524.0,266.0,6696761.999999999,21059.0,318.0,8936102.0,17801.0,502.0,6461140.0,18620.0,347.0,5369594.0,19814.0,271.0,,-0.0022729560068538435,-0.0022744159401960617
