,A,A & B,B,C,D,E,F,G,H
6.0,17052,20757,16754,16868,16940,17073,16288,17061,17352
14.0,18283,21949,17609,17552,17806,17930,18665,17686,18651
23.0,18929,23291,18581,18756,18835,19006,18199,18680,19814
