,A,B,C,D,E,F,G,H,I,J,K,L
7.0,16029,16575,15902,16632,16503,14456,14626,17286,15648,15855,15676,15921
14.0,16355,17352,15091,17372,17209,15178,15357,17736,16334,16448,16368,16379
20.0,16927,17364,17169,17584,17812,15815,15559,18376,16404,17040,16967,17231
