,1,2,3,4,5,6,7,8,C1,C4,C6
7.0,5959370,5518800,5518800,5518800,6106760,5811960,5566260,5959370,6132230,5518800,5597340
14.0,6251340,5788800,5788800,5788800,6406400,6096720,5815740,6251340,6382920,5788800,5856480
21.0,6538150,6054000,6054000,6054000,6700320,6376440,6048420,6538150,6666290,6054000,6102600
