,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,A1,A10,A11,A12,A15,A16,A2,A3,A4,A5,A6,A7,A8
6.0,6536600,5278500,5217740,6230240,5278500,5691950,5691950,5278500,5217740,5278500,5628480,5278500,5309500,5691950,4725750,6106800,6436780,5613270,5290125,5649930,5460875,5205750,5375625,5398500,5403840,4948380,5787145,5711305,5355750
14.0,5924100,5621625,5684625,6953360,5559750,6202290,5948700,5559750,5495610,5559750,6274800,5559750,5892215,5495610,5495610,5864565,6658960,5919420,5576250,6629980,5742510,5489625,5587000,5691375,5701410,5282625,6124080,6011505,5478750
21.0,6779020,5772750,5738250,6779020,5772750,6035600,5951465,5772750,5772750,5970120,5853900,5706140,5622520,6035600,5706140,6202660,6759240,5791500,5635875,6707720,5985040,5545875,5651750,5735625,5970120,5345250,6031650,6080235,5722125
