,J,J & K,JK,K,L,M,N
3.0,5704590,11527761,11527761,7505514,7517697,6747435,5907330
6.0,5939235,11764546,11764546,7658784,7670967,6442590,5960240
9.0,6057235,12012670,12012670,7816770,7831704,6494572,6065774
