,A,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B7B8,B8
2.0,456,389,417,456,379,375,375,379,456,390,390,379,375,360,754,379
5.0,456,389,417,456,379,375,375,379,456,390,390,379,375,375,754,379
8.0,456,368,417,456,379,375,375,379,456,390,390,379,375,375,754,379
