,10,12,38,5,6,7,8,9,whole floor
3.0,5832595,5839248,6120920,5700420,5664780,6124040,6120920,6133733,5332284
8.0,5868023,6031650,6176560,5891985,5851890,6217120,6176560,6189480,6055920
12.0,6020155,6189949,6338280,6048900,6004845,6378320,6338280,6352032,6220760
