,A,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B7B8,B8
2.0,5797584,4801038,5118675,5797584,4795108,4752750,4752750,4641992,5797584,4916730,5011500,5016065,4752750,3868200,8153002,4795108
5.0,5913864,5029381,5222925,5913864,4890995,4847625,4847625,4816332,5913864,5016570,5114460,5041079,4847625,4099875,8312096,4731436
8.0,6032424,4898816,5330928,6032424,4988777,4944375,4944375,4917904,6032424,5114850,5218980,5141135,4944375,4184250,8466666,4988777
