,A,B,C,D,E,F,G,H,I,J,K,L
7.0,4936932,5685225,5295366,5322240,4373295,5551104,5616384,4580790,5007360,5279715,5376868,4903668
14.0,5037340,5951736,5025303,5559040,4560385,5828352,5897088,4700040,5226880,5477184,5614224,5044732
20.0,5213516,5955852,5717277,5626880,4720180,6072960,5974656,4869640,5249280,5674320,5819681,5307148
