,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,B10,B14,B15,B16,B2,B4,B5,B6,B7,B8,B9
6.0,6559600,5483250,5483250,6723360,5483250,5765815,5765815,5483250,5517375,6103020,6103020,5483250,5702580,5765815,5483250,6103020,5520375,5765815,5656005,5154750,5368875,5967360,5263125,6080630,5855875,5763290,6257360
14.0,6592260,5859750,5859750,6762000,5580000,6119340,6119340,5859750,5830125,4956000,6328760,5859750,6119340,6119340,5859750,6491520,6442691,6119340,5914730,5467500,5659500,6130320,5403750,6044290,6318025,6055260,6021290
21.0,6555360,6122250,6122250,7223380,6122250,6411640,6411640,6122250,6084750,6555360,6555360,6122250,6339840,6411640,6122250,6555360,6838176,6411640,6334615,5651625,5914500,6411170,5847000,6397420,5593200,6505900,6548470
