,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,A1,A10,A11,A12,A15,A16,A2,A3,A4,A5,A6,A7,A8
6.0,14210,14076,14102,13544,14076,14410,14410,14076,14102,14076,14432,14076,14350,14410,12602,14540,13993,14393,14107,14487,13825,13882,14335,14396,13856,13374,14651,14459,14282
14.0,15190,14991,15159,15116,14826,15702,15060,14826,14853,14826,14940,14826,14917,14853,14853,14847,14476,15178,14870,14413,14538,14639,15100,15177,14619,14087,15504,15219,14610
21.0,14737,15394,15302,14737,15394,15280,15067,15394,15394,15308,15010,15422,15196,15280,15422,15055,14694,15444,15029,14582,15152,14789,15275,15295,15308,14254,15270,15393,15259
