,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,B10,B14,B15,B16,B2,B4,B5,B6,B7,B8,B9
6.0,460,375,375,460,375,395,395,375,375,420,420,375,390,395,375,420,375,395,395,375,375,420,375,395,395,430,430
14.0,460,375,375,460,375,395,395,375,375,375,410,375,395,395,375,420,437,395,395,375,375,410,375,395,395,430,430
21.0,420,375,375,460,375,395,395,375,375,420,420,375,390,395,375,420,437,395,395,375,375,410,375,395,395,430,430
