,A,B,C,D,E,F,G
15.0,18935540,12919280,16491966,19679769,10299409,7995700,12828382
28.0,22076366,14447212,19012662,20558466,11429570,9213370,12349012
41.0,23882820,14703714,19454668,22031895,13030441,9828680,14512789
