,A,B,C,D,E,EF,F
3.0,5331914,5331914,4861620,5121216,4066354,9417180,5006680
6.0,5438468,5438468,4958550,4807920,4147450,9605424,5106640
9.0,5545022,5545022,5055750,4902040,4027550,9793170,5206600
