,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T,U,V,W
4.0,5501436,5501436,7016448,7242404,6348400,6320090,6419466,6353760,6462240,8473140,5874456,4920114,4920114,7155606,6462240,7039716,6804081,5346934,5613720,5896000
6.0,6322464,5578892,7114240,7344207,6437608,6517490,7004745,6442080,6509619,8309340,5956800,4419286,4419286,4312258,4415640,5764275,6899651,5422723,5693100,5978720
9.0,6453312,5694664,5711112,7496112,6570712,6540990,6841870,6722800,6644133,8478516,6081630,4517155,4517155,7706683,4503680,5883700,7042000,5535003,7679424,6102360
