,1,2,3,4,5,6,7,8,C1,C4,C6
7.0,430,400,400,400,440,420,420,430,430,400,420
14.0,430,400,400,400,440,420,420,430,430,400,420
21.0,430,400,400,400,440,420,420,430,430,400,420
