,A,B,C,D,E,F,G,H,I,J
10.0,16324,19220,19367,19299,18790,18988,19394,20144,17869,18988
26.0,20492,20995,21356,21147,20874,20228,20991,18314,19606,20492
39.0,21534,22786,23230,18818,22105,21662,18808,19104,19075,21534
