,subjFloor,floorLv,unitNo,price,npsf,nfa
2.0/F低層A,2.0,低層,A,5159490,16590,311
3.0/F中層A,3.0,中層,A,5192767,16697,311
4.0/F高層A,4.0,高層,A,5226355,16805,311
2.0/F低層B,2.0,低層,B,4644822,14118,329
3.0/F中層B,3.0,中層,B,4675090,14210,329
4.0/F高層B,4.0,高層,B,4705358,14302,329
2.0/F低層C,2.0,低層,C,,,
3.0/F中層C,3.0,中層,C,,,
4.0/F高層C,4.0,高層,C,,,
2.0/F低層D,2.0,低層,D,,,
3.0/F中層D,3.0,中層,D,,,
4.0/F高層D,4.0,高層,D,,,
2.0/F低層E,2.0,低層,E,,,
3.0/F中層E,3.0,中層,E,4843867,14723,329
4.0/F高層E,4.0,高層,E,,,
2.0/F低層F,2.0,低層,F,,,
3.0/F中層F,3.0,中層,F,4235509,13619,311
4.0/F高層F,4.0,高層,F,,,
