,1,10,11,12,13,14,2,3,4,5,5 & 6,6,7,8,9
4.0,16040,15628,15201,16584,16584,16218,15082,15411,16206,16308,14268,16437,16206,14831,16144
10.0,16669,16086,15628,17060,17060,16700,15037,16069,16672,16780,14670,16856,16672,14777,16608
15.0,16637,16291,15895,17247,16163,17096,16626,17026,16626,17035,15006,17143,17026,14952,16567
