,A,B,C,D,E,F,G,H,I,J
10.0,6660192,10301920,6487945,10421460,7666320,7747104,10356396,6748240,9577784,7747104
26.0,8360736,11253320,7154260,11419380,8516592,8253024,11209194,6135190,10508816,8360736
39.0,8807406,12190510,7782050,10142902,9040945,8859758,10024664,6399840,10205125,8807406
