,A,AG,B,C,D,E,EF,F,G
15.0,9060496,15547140,7440230,8416440,8459367,7699250,14118672,8927370,9443753
36.0,14194657,17790948,14520060,10862950,13886244,13593064,16067244,9440632,10180130
67.0,,,,,,,,,
