,A,B,C,D,D2,E,F,G,H,J
3.0,4462640,4396200,4181398,4860705,6411978,4007941,3982720,3965440,3938940,4667764
8.0,4619524,4546480,4328766,5027340,6661962,4143078,4123520,4104960,4078296,4832250
13.0,4210068,4092380,4537312,5198460,6895764,3358189,4256320,4238080,4210068,4987640
