,A,B,C,D,E,F,G,G & H,G-H,H
6.0,16357,16791,16898,16734,16761,16779,17001,17714,17714,16467
13.0,17142,17638,17895,17575,17817,17575,18338,18165,18165,17261
20.0,18374,18507,18811,18439,18676,18970,18103,19080,19080,18757
