,1,2,3,4,5,6,7,7 & 8,78,8
7.0,4892610,6880120,6887400,4892610,4892610,6982040,6982040,11840500,11840500,4925980
14.0,5113420,7179640,7184320,5113420,5113420,7280520,6645250,12385625,12385625,5147500
21.0,7507155,6465600,6474150,8960580,4948650,7580560,6923600,12929875,12929875,5126640
