,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,B10,B14,B15,B16,B2,B4,B5,B6,B7,B8,B9
6.0,14260,14622,14622,14616,14622,14597,14597,14622,14713,14531,14531,14622,14622,14597,14622,14531,14721,14597,14319,13746,14317,14208,14035,15394,14825,13403,14552
14.0,14331,15626,15626,14700,14880,15492,15492,15626,15547,13216,15436,15626,15492,15492,15626,15456,14743,15492,14974,14580,15092,14952,14410,15302,15995,14082,14003
21.0,15608,16326,16326,15703,16326,16232,16232,16326,16226,15608,15608,16326,16256,16232,16326,15608,15648,16232,16037,15071,15772,15637,15592,16196,14160,15130,15229
