,B,C,D,E,F,G,H,I,K,L
3.0,11926,12129,11518,11905,12032,11090,10959,11207,10703,11288
6.0,12152,12361,12260,12480,12264,11009,11173,11470,10912,11509
10.0,12470,12630,12577,11716,12090,12447,11000,11000,12302,11804
