,A,B,C,D,E,F,G,H
10.0,17663,17543,17114,17534,17751,17721,17337,16859
26.0,18235,19045,18801,19654,19758,19326,17827,18357
39.0,19859,19875,20535,20992,20986,20674,19871,19953
