,A,B,C,D,E,F,G,G & H,G-H,H
6.0,4743530,5457075,5491850,5438550,5447325,4362540,4420260,9742700,9742700,4775430
13.0,4971180,5732350,5815875,5711875,5790525,4569500,10085900,9990750,9990750,5005690
20.0,5328460,6014775,6113575,5992675,6069700,4932200,6607595,10494000,10494000,5439530
