,A,B,C,D,E,F,H,I
3.0,11180,9835,11175,11343,11125,10804,11792,12487
4.0,11254,10388,11250,11419,11200,10877,11712,12571
6.0,11413,10022,12104,11580,11355,11027,12020,12738
