,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,1857949.1780977163,3707.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1857949.1780977163,3707.0,541.0,,-0.023094422127460157,-0.11675005956635687
2020-11-15,1901871.8084749528,4197.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1901871.8084749528,4197.0,541.0,,-0.020279149497397397,0.2261174408413673
2020-10-15,1941238.4736930742,3423.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1941238.4736930742,3423.0,541.0,,0.0039651261775977,0.0407418668288233
2020-9-15,1933571.6182532783,3289.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1933571.6182532783,3289.0,541.0,,-0.08426710585081809,-0.08460896187030342
2020-8-15,2111501.760619599,3593.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2111501.760619599,3593.0,541.0,,,
2020-7-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2020-6-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2020-5-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2020-4-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2020-3-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2020-2-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2020-1-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-12-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-11-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-10-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-9-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-8-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-7-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-6-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-5-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-4-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-3-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-2-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2019-1-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2018-12-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2018-11-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2018-10-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2018-9-15,2059587.0,3807.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2059587.0,3807.0,541.0,,-0.0220909324428461,-0.0220909324428461
