,A,B,C,D,E,F,G,H,J,K,L
15.0,15500,15700,15624,16302,16257,16837,16830,15945,15055,15972,15246
31.0,16309,17030,16872,16992,16279,16254,17065,15856,15148,17281,15614
48.0,16553,17256,18506,18001,17223,17333,16795,16977,15913,17421,16369
