,A,B,C,D,E,F,G,H,J,K,L
4.0,14312,15812,15946,14291,15852,15750,15527,20313,16230,15968,14336
10.0,15893,15903,16245,15492,16208,15976,16474,21080,17046,16563,14681
17.0,15532,16623,16777,15208,17012,16421,17866,19204,17890,17431,15542
