,A,B,BC,C,D,E,F,G,H,J,K
10.0,22168,23696,20687,23566,22687,21268,20219,18953,17967,18078,17873
26.0,25075,24402,23278,23324,21380,25031,25158,22862,20380,26813,27031
43.0,27835,27119,26038,26086,23913,27835,27981,25577,22795,29893,25930
