,A,B,C,D,E,F,G,GH,H
17.0,8135412,10381830,8926126,9468360,8389565,9993200,8347728,18905815,13530492
36.0,8271956,10422015,9634069,9636660,8391096,10602625,8199376,19877920,14028291
54.0,8540024,10920450,9848188,10048500,8537256,11204083,8423856,,15385419
