,A,AH,B,BC,C,D,DH,E,EG,F,G,H
10.0,8028000,14989590,8455860,15983178,7916250,7796450,14919828,6234200,11460365,6519450,6357960,8559075
25.0,8429250,14968800,8582112,16675938,8589750,8372870,14709046,6497365,11312175,6754650,6611472,8335635
38.0,8697000,15243525,9682092,17278338,9164250,8644822,15363502,6634824,11811555,6911625,6791904,8598030
