,A,B,C,D,E,EF,F,G,H
10.0,7907738,8021772,10982296,13908800,8745555,16633134,9071592,14659460,7780320
28.0,8472502,8673192,11219572,14376000,8799528,17529904,8422782,15083590,8460180
45.0,8883050,9061459,13000832,14956157,8976422,18305248,8908305,15687334,8873280
