,A,AC,B,BC,C,D,E
4.0,7981558,,6830325,15932095,6819176,14006308,9644098
10.0,19299150,,19659321,16693624,10458426,14676018,10118720
16.0,20695248,,21063120,17455153,10922415,15345728,10577378
