,A,B,C,D,E,F,G,H,J,K,L
15.0,10152500,10628900,9796248,13074204,7770846,7761857,7657650,7605765,9409375,10813044,7623000
31.0,10715013,11495250,10561872,13593600,7765083,7493094,7764575,7563312,9452352,11716518,7775772
48.0,10842215,11613288,11566250,14364798,8215371,7990513,7624930,8064075,9945625,11794017,8184500
