,A,B,C,D,E,F,G,H,J,K
8.0,9584,9622,9462,9622,10444,10087,9346,9742,10093,10590
20.0,10019,9984,9787,9984,11138,10526,9954,10146,10546,11113
33.0,10386,10678,10678,10678,11564,11137,10462,10797,11188,11617
