,A,AH,AJ,B,C,D,DG,DI,E,F,G,H,HI,I,IJ,J
21.0,19078,,,24923,19002,20516,,,21949,19736,23380,22710,,21433,16649,20037
67.0,,,,,,,,,,,,,,,,
102.0,,,,,,,,,,,,,,,,
