,LA,LB,LC,LD,RA,RB,RC,RD
20.0,8688628,8849520,10541874,9007524,8167532,8304597,9806797,10825654
40.0,8786778,11755110,11463370,9535804,8674848,8279246,8401533,11175542
61.0,8291816,8401400,9232310,10039204,8700666,10248790,8967777,11967760
