,A,B,C,D,E,F,G,H,J,K,L,M
7.0,5479650,5479650,6107664,6153248,6153248,5479650,5591025,6185216,6153248,6153248,5474700,5571720
18.0,5745960,5745960,6156208,6163904,6163904,5745960,5810310,6337360,6163904,6163904,5718735,5822685
28.0,5989005,5989005,6353344,6403664,6403664,5989005,6035535,6567056,6403664,6403664,5952870,6054345
