,LA,LALB,LARA,LB,LC,LD,RA,RARB,RB,RBRC,RC,RD
25.0,10357971,19638858,17721660,10957300,7986587,7974360,8659612,19855804,12458880,20321656,10516792,8237250
62.0,11634929,21656127,18219696,13700900,11126395,10274120,10313866,22563249,15363040,23113916,11256466,10684500
101.0,,,,,,,,,,,,
