,A,B,C,D,E,F,G,H
10.0,12682,13281,12817,13083,12591,12443,12424,12682
25.0,13417,13933,13876,14024,13328,12979,12936,13417
40.0,13800,14526,14034,14356,12614,13548,13489,13800
