,A,B,C,D,E,F,G,H
10.0,14257,12138,13222,11815,11815,13013,13013,13566
24.0,15027,13435,13913,12407,12418,13425,12780,14649
39.0,15901,13593,12705,13210,13078,12741,13583,14641
