,A,AB,B,C,D,E,F,G,H
10.0,15106,12595,17828,14803,13801,15057,15949,15191,14933
28.0,15479,13217,15280,15527,14414,16972,17116,15969,15732
45.0,17135,14750,17219,17633,16451,18325,19282,16968,16520
