,LA,LARA,LARD,LB,LC,LD,LDRD,RA,RARD,RB,RC,RCRD,RD
15.0,9031638,17232336,17995208,10707090,10168640,10032588,17616090,9117384,17105372,10013848,10439893,17396100,9048060
35.0,9577170,19161648,19002053,11373900,10816004,11153617,18872175,9194520,19051586,12668201,9650827,18637704,11206954
56.0,11860248,15825744,15683367,11210220,11238712,11352278,15581325,9807031,15707905,13612456,9927966,15394980,9815208
