,A,AB,B,C,D,E,F,G,H
10.0,7945756,13199560,9306216,7667954,10971795,7904925,8197786,12076845,7899557
28.0,8141954,13851416,7976160,8042986,11459130,8910300,8797624,12695355,8322228
45.0,9013010,15458000,8988318,9133894,13078545,9620625,9910948,13489560,8739080
