,LA,LALB,LALC,LARA,LB,LC,LCLD,LCRA,LD,RA,RB,RC,RCRD,RD
25.0,12994860,20520500,24780448,24650841,12845930,11952486,21133952,21180208,11039517,9373420,12997568,10330608,20049120,11071620
64.0,18586202,29991325,27012568,26869747,26273130,11781315,23357160,23486288,11339000,13576344,13786368,10705846,22376032,11539974
102.0,,,,,,,,,,,,,,
