,subjFloor,floorLv,unitNo,price,npsf,nfa
10.0/F低層A,10.0,低層,A,9602681,14311,671
24.0/F中層A,24.0,中層,A,10107273,15063,671
39.0/F高層A,39.0,高層,A,9489282,14142,671
10.0/F低層B,10.0,低層,B,8807309,12971,679
24.0/F中層B,24.0,中層,B,9133908,13452,679
39.0/F高層B,39.0,高層,B,9455754,13926,679
10.0/F低層C,10.0,低層,C,6265728,14112,444
24.0/F中層C,24.0,中層,C,6930840,15610,444
39.0/F高層C,39.0,高層,C,7151508,16107,444
10.0/F低層D,10.0,低層,D,6718095,15165,443
24.0/F中層D,24.0,中層,D,6883334,15538,443
39.0/F高層D,39.0,高層,D,7190776,16232,443
10.0/F低層E,10.0,低層,E,6106755,13785,443
24.0/F中層E,24.0,中層,E,6463370,14590,443
39.0/F高層E,39.0,高層,E,7114137,16059,443
10.0/F低層F,10.0,低層,F,8115584,13348,608
24.0/F中層F,24.0,中層,F,8670080,14260,608
39.0/F高層F,39.0,高層,F,8852480,14560,608
10.0/F低層G,10.0,低層,G,9460452,13892,681
24.0/F中層G,24.0,中層,G,9175794,13474,681
39.0/F高層G,39.0,高層,G,9414144,13824,681
10.0/F低層H,10.0,低層,H,6789458,15223,446
24.0/F中層H,24.0,中層,H,7061518,15833,446
39.0/F高層H,39.0,高層,H,7338930,16455,446
