,A,B,C,D,E,F,G,H,J,K,L,M
7.0,11070,11070,10317,10394,10394,11070,11295,10448,10394,10394,11060,11256
18.0,11608,11608,10399,10412,10412,11608,11738,10705,10412,10412,11553,11763
28.0,12099,12099,10732,10817,10817,12099,12193,11093,10817,10817,12026,12231
