,subjFloor,floorLv,unitNo,price,npsf,nfa
10.0/F低層A,10.0,低層,A,10886695,15355,709
28.0/F中層A,28.0,中層,A,11534012,16268,709
45.0/F高層A,45.0,高層,A,12101212,17068,709
10.0/F低層B,10.0,低層,B,6822120,16680,409
28.0/F中層B,28.0,中層,B,6967724,17036,409
45.0/F高層B,45.0,高層,B,7159136,17504,409
10.0/F低層C,10.0,低層,C,6771288,16844,402
28.0/F中層C,28.0,中層,C,6620538,16469,402
45.0/F高層C,45.0,高層,C,6870984,17092,402
10.0/F低層D,10.0,低層,D,11664162,14418,809
28.0/F中層D,28.0,中層,D,12234507,15123,809
45.0/F高層D,45.0,高層,D,14040195,17355,809
10.0/F低層E,10.0,低層,E,8047200,15328,525
28.0/F中層E,28.0,中層,E,8186850,15594,525
45.0/F高層E,45.0,高層,E,8288175,15787,525
10.0/F低層F,10.0,低層,F,8018442,15361,522
28.0/F中層F,28.0,中層,F,8473626,16233,522
45.0/F高層F,45.0,高層,F,8830772,20926,422
10.0/F低層G,10.0,低層,G,7961544,15252,522
28.0/F中層G,28.0,中層,G,8396892,16086,522
45.0/F高層G,45.0,高層,G,8280486,15863,522
10.0/F低層H,10.0,低層,H,7996240,15260,524
28.0/F中層H,28.0,中層,H,8166016,15584,524
45.0/F高層H,45.0,高層,H,8545916,16309,524
