,LA,LB,LC,LD,RA,RB,RC,RD
20.0,12725,11955,11319,11974,12106,11365,12248,11676
42.0,11713,11783,12553,11862,12459,11894,12633,12742
65.0,12808,12716,12038,12283,12479,12048,12630,13027
