,A,AH,B,BC,C,D,DH,E,EG,F,G,H
10.0,10704,10094,11185,10613,10555,10550,10122,12200,11291,12418,12615,11645
25.0,11239,10080,11352,11073,11453,11330,9979,12715,11145,12866,13118,11341
38.0,11596,10265,12807,11473,12219,11698,10423,12984,11637,13165,13476,11698
