,1,10,11,12,13,14,15,16,17,18,19,2,20,3,4,5,6,7,8,9
7.0,13041,16166,15587,9068,8743,8743,7937,8382,9019,9037,9037,12025,16413,8743,8743,8357,8357,9037,9025,9068
20.0,13803,16760,16954,9444,9086,9086,8200,8809,9397,9418,9465,12511,16577,9086,9086,8809,9007,9418,9402,9465
32.0,17901,17463,17635,9849,9420,9420,8410,8513,12790,9809,9849,12890,17272,9420,9420,8532,8532,9809,9780,9849
