,LA,LALCRD,LB,LC,LD,LDRD,RA,RARD,RB,RC,RD,RDLD
25.0,9207450,,11049222,8098230,8235542,17319838,8877714,17455804,10241923,7750575,8664557,17319838
63.0,12615880,,15525559,10843455,12279432,21875900,12020184,22050836,15143637,10947825,12450816,21875900
102.0,,,,,,,,,,,,
