,A,B,C,D,E,F,G,GH,H
17.0,8325168,9921465,9961999,10043220,7174030,11144700,8037360,19152025,14070933
38.0,8036518,11761515,8976923,9660420,7910280,9524487,8291608,20206200,14882058
59.0,9524446,12581430,9466889,10606200,8225784,10051639,8615152,20657585,15700599
