,A,B,BC,C,D,E,F,G,H
6.0,8462498,8675972,14238517,8745108,8627678,7949826,6544395,7935564,8366156
10.0,8563070,8906028,14409213,8786828,8774178,8050824,6781203,8037861,8472176
17.0,8740516,8969204,14707931,9084828,8879072,8233848,6774339,8222890,8881531
