,A,B,BC,C,CD,D,E,F,G,H
10.0,6638696,7697473,13513230,7996830,13469104,8197683,6925963,6594840,6823195,6362760
24.0,6890691,8470441,14151168,8638275,14103626,8597823,6861320,7145712,7313117,7444980
37.0,6451571,8415764,14784624,9840705,15595570,9019452,6607329,7352856,6600366,6569310
