,LA,LALB,LALC,LARA,LB,LC,LCLD,LCRA,LD,RA,RB,RC,RCRD,RD
25.0,11399,9020,12656,12687,11318,14594,13184,13042,14099,11644,14006,13848,13104,14140
64.0,16318,13183,13796,13829,13938,14385,14580,14462,14500,16886,14856,14351,14644,14757
102.0,,,,,,,,,,,,,,
