,LA,LARA,LARD,LB,LC,LD,LDRD,RA,RARD,RB,RC,RCRD,RD
15.0,11418,10879,11528,11513,13760,12962,11402,11454,10916,10552,14051,11475,11690
35.0,12123,12097,12173,12230,14636,14429,12215,11580,12158,13349,12989,12294,14498
56.0,15032,9991,10047,12054,15208,14686,10085,12367,10037,14344,13362,10155,12714
