,1,2,3,4,5,6,7,8
7.0,6691200,6806010,7070400,7070400,7070400,7065900,6668340,6615840
13.0,6998475,7119645,7395300,7395300,7115850,7392600,6957720,6919920
19.0,7308725,7435020,7723800,7723800,6639750,6515340,7265160,7226940
