,1,2,3,4,5,6,B1,B2,B3,B5,B6
5.0,450,530,435,435,530,450,450,530,435,530,450
14.0,450,530,435,435,530,450,450,530,435,530,450
22.0,450,530,435,435,530,450,450,530,435,530,450
